assists,games,goals,id,key_passes,league,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,year,yellow_cards
1,36,0,7924,15,RFPL,0,3.460364470258355,Amir Rrahmani,D,0,43,Verona,3229,1.0547801442444324,3.460364470258355,5.364898521453142,6.3771447241306305,2021,5
0,4,0,7925,2,RFPL,0,0.049471303820610046,Liam Henderson,M S,0,3,Verona,193,0.37344881892204285,0.049471303820610046,0,0.034610532224178314,2021,1
0,6,0,7926,0,RFPL,0,0.43995099514722824,Gennaro Tutino,F S,0,3,Verona,226,0,0.43995099514722824,0.18092812597751617,0.620879128575325,2021,0
0,13,0,7929,1,RFPL,0,0.03393520321696997,Alan Empereur,D S,0,2,Verona,845,0.056744400411844254,0.03393520321696997,1.3586957920342684,1.3586957920342684,2021,3
0,19,0,7933,9,RFPL,0,0.15303663164377213,Jerdy Schouten,M S,1,7,Bologna,1087,0.3150186939164996,0.15303663164377213,3.356116099283099,3.658010771498084,2021,6
2,11,0,7936,12,RFPL,0,0.271054994314909,Filip Jagiello,M S,0,5,Genoa,555,0.9349900893867016,0.271054994314909,1.1868026126176119,1.8243069350719452,2021,0
2,17,0,7938,18,RFPL,0,0,Tommaso Augello,D S,0,0,Sampdoria,1131,1.0888912687078118,0,2.7011686228215694,3.208118636161089,2021,2
0,11,0,7940,0,RFPL,0,0.1137599628418684,Denis Vavro,D S,0,3,Lazio,292,0,0.1137599628418684,0.7391823483631015,0.7391823483631015,2021,0
0,6,0,7941,2,RFPL,0,0.2041971916332841,André Anderson,S,0,5,Lazio,49,0.1261039637029171,0.2041971916332841,0.056394509971141815,0.27568178344517946,2021,0
1,26,0,7943,7,RFPL,0,0.14186768885701895,Igor Julio,D S,0,5,"Fiorentina,SPAL 2013",1948,1.104036532342434,0.14186768885701895,3.800214059650898,4.7750116884708405,2021,9
0,10,0,7945,1,RFPL,0,0,Karlo Letica,GK,0,0,SPAL 2013,900,0.0353284552693367,0,1.503831060603261,1.5391595158725977,2021,1
0,2,0,7951,0,RFPL,0,0,Alessandro Tripaldelli,D S,0,0,Sassuolo,133,0,0,0.019430391490459442,0.019430391490459442,2021,0
0,1,0,7952,2,RFPL,0,0,Simone Pinna,D,0,0,Cagliari,90,0.06547997891902924,0,0.423793226480484,0.48927322030067444,2021,1
0,29,0,7955,1,RFPL,0,0,Jesse Joronen,GK,0,0,Brescia,2610,0.023375289514660835,0,1.5678849751129746,1.5912602646276355,2021,1
0,22,0,7960,9,RFPL,0,2.6313126189634204,Florian Aye,F M S,1,24,Brescia,1377,1.3305433709174395,2.6313126189634204,0.557041535153985,2.9231269247829914,2021,2
